month,relay_chain,chain,substrate_active,evm_active,substrate_passive,number_of_active_addresses
2024-01-01,polkadot,acala,10755,1514,9388,12269
2024-01-01,polkadot,astar,20639,6672,64589,27311
2024-01-01,polkadot,crust,24,,13,24
2024-01-01,polkadot,kapex,2,,2,2
2024-01-01,polkadot,manta,15465,,11161,15465
2024-01-01,polkadot,nodle,41105,,124536,41105
2024-01-01,polkadot,phala,735,,591,735
2024-01-01,polkadot,clover,13,61,72,74
2024-01-01,polkadot,unique,598,6,1662,604
2024-01-01,polkadot,aventus,12,,187,12
2024-01-01,polkadot,bifrost,4501,,26793,4501
2024-01-01,polkadot,hydradx,5342,75,4512,5417
2024-01-01,polkadot,invarch,620,,668,620
2024-01-01,polkadot,bitgreen,11,,67,11
2024-01-01,polkadot,darwinia,3,229,102,232
2024-01-01,polkadot,interlay,2877,,2550,2877
2024-01-01,polkadot,litentry,502,,80,502
2024-01-01,polkadot,moonbeam,2296,248080,377996,250376
2024-01-01,polkadot,parallel,6343,,4393,6343
2024-01-01,polkadot,pendulum,517,,542,517
2024-01-01,polkadot,polkadex,1,,,1
2024-01-01,polkadot,polkadot,138989,,167428,138989
2024-01-01,polkadot,frequency,7,,1,7
2024-01-01,polkadot,statemint,1541,,1111,1541
2024-01-01,polkadot,zeitgeist,1040,,619,1040
2024-01-01,polkadot,centrifuge,2821,20,2122,2841
2024-01-01,polkadot,composable,224,,245,224
2024-01-01,polkadot,integritee,4,,2,4
2024-01-01,polkadot,collectives,24,,3,24
2024-01-01,polkadot,equilibrium,802,,,802
2024-01-01,polkadot,origintrail,168,229,76,397
2024-01-01,polkadot,kilt-spiritnet,1250,,627,1250
2024-01-01,polkadot,polkadot-hashed,55,,43,55
2023-12-01,polkadot,acala,15435,1381,11899,16816
2023-12-01,polkadot,astar,23350,6264,62754,29614
2023-12-01,polkadot,crust,14,,961,14
2023-12-01,polkadot,manta,12,,6,12
2023-12-01,polkadot,nodle,35639,,109881,35639
2023-12-01,polkadot,phala,689,,558,689
