month,chain_name,treasury_balance_dot,percent_of_total_issuance
2024-01,polkadot,43479802.25430449,3.09
2023-12,polkadot,43830514.89533724,3.14
2023-11,polkadot,44068685.33888908,3.19
2023-10,polkadot,45155538.17529756,3.29
2023-09,polkadot,45236196.54050549,3.32
2023-08,polkadot,45378303.00696058,3.36
2023-07,polkadot,45523574.22597273,3.4
2023-06,polkadot,46451161.47476043,3.49
2023-05,polkadot,45431578.13529011,3.44
2023-04,polkadot,44477815.533981286,3.4
2023-03,polkadot,44115761.58797968,3.4
2023-02,polkadot,44511484.996323444,3.46
2023-01,polkadot,44450298.15874636,3.48
