month,relay_chain,chain,substrate,evm,number_of_transactions
2024-01-01,polkadot,aventus,57154,,57154
2024-01-01,polkadot,bifrost,29175,,29175
2024-01-01,polkadot,bitgreen,32,,32
2024-01-01,polkadot,collectives,182,,182
2024-01-01,polkadot,composable,23789,,23789
2024-01-01,polkadot,crust,125,,125
2024-01-01,polkadot,equilibrium,2668,,2668
2024-01-01,polkadot,frequency,149808,,149808
2024-01-01,polkadot,integritee,20,,20
2024-01-01,polkadot,interlay,68621,,68621
2024-01-01,polkadot,invarch,2041,,2041
2024-01-01,polkadot,kapex,3,,3
2024-01-01,polkadot,kilt-spiritnet,4242,,4242
2024-01-01,polkadot,litentry,1803,,1803
2024-01-01,polkadot,manta,69856,,69856
2024-01-01,polkadot,nodle,290616,,290616
2024-01-01,polkadot,parallel,96239,,96239
2024-01-01,polkadot,pendulum,4278,,4278
2024-01-01,polkadot,phala,4329897,,4329897
2024-01-01,polkadot,polkadex,4,,4
2024-01-01,polkadot,polkadot,441822,,441822
2024-01-01,polkadot,polkadot-hashed,314,,314
2024-01-01,polkadot,statemint,13659,,13659
2024-01-01,polkadot,zeitgeist,5093,,5093
2024-01-01,polkadot,clover,43,772,815
2024-01-01,polkadot,origintrail,491,2729234,2729725
2024-01-01,polkadot,hydradx,89556,283,89839
2024-01-01,polkadot,acala,72248,7012,79260
2024-01-01,polkadot,astar,1230995,465518,1696513
2024-01-01,polkadot,moonbeam,8661,2892951,2901612
2024-01-01,polkadot,darwinia,3,5026,5029
2024-01-01,polkadot,centrifuge,10012,176,10188
2024-01-01,polkadot,unique,2529,237,2766
2023-12-01,polkadot,acala,89422,5814,95236
2023-12-01,polkadot,astar,1362155,538038,1900193
2023-12-01,polkadot,unique,3095,600,3695
2023-12-01,polkadot,hydradx,61946,51,61997
2023-12-01,polkadot,darwinia,2,1924,1926
2023-12-01,polkadot,moonbeam,8561,2107996,2116557
2023-12-01,polkadot,centrifuge,10991,214,11205
2023-12-01,polkadot,origintrail,499,3101833,3102332
2023-12-01,polkadot,crust,38,,38
2023-12-01,polkadot,manta,45,,45
2023-12-01,polkadot,nodle,202157,,202157
2023-12-01,polkadot,phala,4313964,,4313964
2023-12-01,polkadot,aventus,28093,,28093
2023-12-01,polkadot,bifrost,1540974,,1540974
2023-12-01,polkadot,bitgreen,23,,23
2023-12-01,polkadot,interlay,62357,,62357
2023-12-01,polkadot,litentry,1759,,1759
2023-12-01,polkadot,parallel,152232,,152232
2023-12-01,polkadot,pendulum,2837,,2837
2023-12-01,polkadot,polkadex,25,,25
2023-12-01,polkadot,polkadot,17968583,,17968583
2023-12-01,polkadot,frequency,188083,,188083
2023-12-01,polkadot,statemint,11044,,11044
2023-12-01,polkadot,zeitgeist,3187,,3187
2023-12-01,polkadot,composable,11453,,11453
2023-12-01,polkadot,collectives,108,,108
2023-12-01,polkadot,equilibrium,2755,,2755
2023-12-01,polkadot,kilt-spiritnet,5201,,5201
2023-12-01,polkadot,polkadot-hashed,121,,121
2023-11-01,polkadot,acala,80243,5736,85979
2023-11-01,polkadot,astar,85855,942383,1028238
2023-11-01,polkadot,unique,18213,120,18333
2023-11-01,polkadot,darwinia,,1776,1776
2023-11-01,polkadot,moonbeam,6506,1395680,1402186
2023-11-01,polkadot,centrifuge,11463,40,11503
2023-11-01,polkadot,origintrail,391,3611563,3611954
2023-11-01,polkadot,crust,65,,65
2023-11-01,polkadot,kapex,10,,10
2023-11-01,polkadot,kylin,33,,33
2023-11-01,polkadot,manta,1,,1
2023-11-01,polkadot,nodle,131607,,131607
2023-11-01,polkadot,phala,4077914,,4077914
2023-11-01,polkadot,aventus,20239,,20239
2023-11-01,polkadot,bifrost,21439,,21439
2023-11-01,polkadot,hydradx,29488,,29488
2023-11-01,polkadot,bitgreen,36,,36
2023-11-01,polkadot,interlay,56414,,56414
2023-11-01,polkadot,litentry,1827,,1827
2023-11-01,polkadot,parallel,122929,,122929
2023-11-01,polkadot,pendulum,2304,,2304
2023-11-01,polkadot,polkadex,3,,3
2023-11-01,polkadot,polkadot,356674,,356674
2023-11-01,polkadot,frequency,119959,,119959
2023-11-01,polkadot,statemint,5831,,5831
2023-11-01,polkadot,zeitgeist,3148,,3148
2023-11-01,polkadot,composable,10519,,10519
2023-11-01,polkadot,collectives,140,,140
2023-11-01,polkadot,equilibrium,2735,,2735
2023-11-01,polkadot,kilt-spiritnet,6318,,6318
2023-11-01,polkadot,polkadot-hashed,88,,88
2023-10-01,polkadot,acala,97974,8432,106406
2023-10-01,polkadot,astar,71262,882691,953953
2023-10-01,polkadot,clover,5,2713,2718
2023-10-01,polkadot,unique,25574,169,25743
2023-10-01,polkadot,darwinia,1,1946,1947
2023-10-01,polkadot,moonbeam,11715,1247380,1259095
2023-10-01,polkadot,centrifuge,7766,5,7771
2023-10-01,polkadot,origintrail,443,3705395,3705838
2023-10-01,polkadot,crust,24,,24
2023-10-01,polkadot,kapex,41,,41
2023-10-01,polkadot,kylin,68,,68
2023-10-01,polkadot,manta,1,,1
2023-10-01,polkadot,nodle,123864,,123864
2023-10-01,polkadot,phala,4073142,,4073142
2023-10-01,polkadot,aventus,51505,,51505
2023-10-01,polkadot,bifrost,17811,,17811
2023-10-01,polkadot,hydradx,21082,,21082
2023-10-01,polkadot,bitgreen,14,,14
2023-10-01,polkadot,interlay,84279,,84279
2023-10-01,polkadot,litentry,2664,,2664
2023-10-01,polkadot,parallel,152295,,152295
2023-10-01,polkadot,pendulum,1673,,1673
2023-10-01,polkadot,polkadex,13,,13
2023-10-01,polkadot,polkadot,278346,,278346
2023-10-01,polkadot,frequency,69851,,69851
2023-10-01,polkadot,statemint,3204,,3204
2023-10-01,polkadot,zeitgeist,5724,,5724
2023-10-01,polkadot,composable,10503,,10503
2023-10-01,polkadot,collectives,134,,134
2023-10-01,polkadot,equilibrium,2483,,2483
2023-10-01,polkadot,kilt-spiritnet,3637,,3637
2023-10-01,polkadot,polkadot-hashed,61,,61
2023-09-01,polkadot,acala,37807,3426,41233
2023-09-01,polkadot,astar,63373,679076,742449
2023-09-01,polkadot,clover,1,3461,3462
2023-09-01,polkadot,unique,3041,145,3186
2023-09-01,polkadot,darwinia,2,1853,1855
2023-09-01,polkadot,moonbeam,8053,1363242,1371295
2023-09-01,polkadot,centrifuge,6025,1,6026
2023-09-01,polkadot,origintrail,314,3003961,3004275
2023-09-01,polkadot,crust,11,,11
2023-09-01,polkadot,kapex,5,,5
2023-09-01,polkadot,kylin,51,,51
2023-09-01,polkadot,manta,15,,15
2023-09-01,polkadot,nodle,53713,,53713
2023-09-01,polkadot,phala,3808922,,3808922
2023-09-01,polkadot,aventus,60113,,60113
2023-09-01,polkadot,bifrost,15832,,15832
2023-09-01,polkadot,hydradx,22235,,22235
2023-09-01,polkadot,bitgreen,52,,52
2023-09-01,polkadot,interlay,64388,,64388
2023-09-01,polkadot,litentry,2707,,2707
2023-09-01,polkadot,parallel,96744,,96744
2023-09-01,polkadot,pendulum,2124,,2124
2023-09-01,polkadot,polkadex,5,,5
2023-09-01,polkadot,polkadot,222446,,222446
2023-09-01,polkadot,frequency,43035,,43035
2023-09-01,polkadot,statemint,3457,,3457
2023-09-01,polkadot,zeitgeist,1455,,1455
2023-09-01,polkadot,composable,7243,,7243
2023-09-01,polkadot,collectives,46,,46
2023-09-01,polkadot,equilibrium,2016,,2016
2023-09-01,polkadot,kilt-spiritnet,2916,,2916
2023-09-01,polkadot,polkadot-hashed,69,,69
2023-08-01,polkadot,acala,34596,2849,37445
2023-08-01,polkadot,astar,70719,1846762,1917481
2023-08-01,polkadot,clover,1,7165,7166
2023-08-01,polkadot,unique,5508,633,6141
2023-08-01,polkadot,moonbeam,15983,1385745,1401728
2023-08-01,polkadot,origintrail,91,1409755,1409846
2023-08-01,polkadot,crust,16,,16
2023-08-01,polkadot,kapex,2,,2
2023-08-01,polkadot,kylin,70,,70
2023-08-01,polkadot,manta,102,,102
2023-08-01,polkadot,nodle,61833,,61833
2023-08-01,polkadot,phala,3924103,,3924103
2023-08-01,polkadot,aventus,71683,,71683
2023-08-01,polkadot,bifrost,14021,,14021
2023-08-01,polkadot,hydradx,17088,,17088
2023-08-01,polkadot,bitgreen,9,,9
2023-08-01,polkadot,interlay,52736,,52736
2023-08-01,polkadot,litentry,2749,,2749
2023-08-01,polkadot,parallel,115321,,115321
2023-08-01,polkadot,pendulum,2013,,2013
2023-08-01,polkadot,polkadex,6577,,6577
2023-08-01,polkadot,polkadot,211304,,211304
2023-08-01,polkadot,frequency,244,,244
2023-08-01,polkadot,statemint,2467,,2467
2023-08-01,polkadot,zeitgeist,1405,,1405
2023-08-01,polkadot,composable,17122,,17122
2023-08-01,polkadot,collectives,119,,119
2023-08-01,polkadot,equilibrium,55681,,55681
2023-08-01,polkadot,kilt-spiritnet,3701,,3701
2023-08-01,polkadot,polkadot-hashed,48,,48
2023-08-01,polkadot,centrifuge,6973,3,6976
2023-08-01,polkadot,darwinia,2,1342,1344
2023-07-01,polkadot,acala,50210,1634,51844
2023-07-01,polkadot,astar,80643,1792600,1873243
2023-07-01,polkadot,clover,4,57283,57287
2023-07-01,polkadot,unique,12468,1292,13760
2023-07-01,polkadot,darwinia,,1406,1406
2023-07-01,polkadot,moonbeam,29930,1415861,1445791
2023-07-01,polkadot,origintrail,318,557549,557867
2023-07-01,polkadot,ajuna,1,,1
2023-07-01,polkadot,crust,6,,6
2023-07-01,polkadot,kapex,1,,1
2023-07-01,polkadot,kylin,73,,73
2023-07-01,polkadot,manta,206,,206
2023-07-01,polkadot,nodle,77548,,77548
2023-07-01,polkadot,phala,3737968,,3737968
2023-07-01,polkadot,aventus,78600,,78600
2023-07-01,polkadot,bifrost,9747,,9747
2023-07-01,polkadot,hydradx,14069,,14069
2023-07-01,polkadot,bitgreen,62,,62
2023-07-01,polkadot,interlay,53387,,53387
2023-07-01,polkadot,litentry,3093,,3093
2023-07-01,polkadot,parallel,83230,,83230
2023-07-01,polkadot,pendulum,1569,,1569
2023-07-01,polkadot,polkadex,9196,,9196
2023-07-01,polkadot,polkadot,227272,,227272
2023-07-01,polkadot,frequency,302,,302
2023-07-01,polkadot,statemint,2618,,2618
2023-07-01,polkadot,zeitgeist,1839,,1839
2023-07-01,polkadot,centrifuge,8830,,8830
2023-07-01,polkadot,composable,13697,,13697
2023-07-01,polkadot,collectives,156,,156
2023-07-01,polkadot,equilibrium,51334,,51334
2023-07-01,polkadot,kilt-spiritnet,3230,,3230
2023-07-01,polkadot,polkadot-hashed,77,,77
2023-06-01,polkadot,acala,64489,819,65308
2023-06-01,polkadot,astar,63587,2261549,2325136
2023-06-01,polkadot,clover,2,48763,48765
2023-06-01,polkadot,darwinia,291,1607,1898
