month,chain,number_of_unique_addresses
2024-01-01,acala,167478
2024-01-01,ajuna,9
2024-01-01,astar,671059
2024-01-01,crust,1020
2024-01-01,manta,17042
2024-01-01,nodle,938957
2024-01-01,phala,4295
2024-01-01,unique,33337
2024-01-01,bifrost,101690
2024-01-01,hydradx,25888
2024-01-01,bitgreen,1529
2024-01-01,darwinia,1042
2024-01-01,litentry,4754
2024-01-01,moonbeam,1808740
2024-01-01,parallel,50190
2024-01-01,pendulum,1741
2024-01-01,polkadex,2
2024-01-01,polkadot,1255348
2024-01-01,frequency,136
2024-01-01,statemint,4505
2024-01-01,zeitgeist,17421
2024-01-01,centrifuge,50064
2024-01-01,composable,47
2024-01-01,integritee,13005
2024-01-01,collectives,86
2024-01-01,origintrail,4161
2024-01-01,polkadot-t3rn,4
2024-01-01,kilt-spiritnet,19943
2024-01-01,polkadot-hashed,648
2023-12-01,acala,165414
2023-12-01,ajuna,9
2023-12-01,astar,630481
2023-12-01,crust,1019
2023-12-01,manta,43
2023-12-01,nodle,899265
2023-12-01,phala,4167
2023-12-01,unique,33230
2023-12-01,bifrost,101569
2023-12-01,hydradx,26406
2023-12-01,bitgreen,1464
2023-12-01,darwinia,993
2023-12-01,litentry,4770
2023-12-01,moonbeam,1644903
2023-12-01,parallel,49746
2023-12-01,pendulum,1585
2023-12-01,polkadex,2
2023-12-01,polkadot,1225762
2023-12-01,frequency,136
2023-12-01,statemint,3924
2023-12-01,zeitgeist,17192
2023-12-01,centrifuge,49243
2023-12-01,composable,47
2023-12-01,integritee,12992
2023-12-01,collectives,74
2023-12-01,origintrail,4144
2023-12-01,polkadot-t3rn,4
2023-12-01,kilt-spiritnet,19709
2023-12-01,polkadot-hashed,618
2023-11-01,acala,165285
2023-11-01,ajuna,9
2023-11-01,astar,590557
2023-11-01,crust,1016
2023-11-01,kapex,1081
2023-11-01,manta,36
2023-11-01,nodle,865581
2023-11-01,phala,4580
2023-11-01,unique,33080
2023-11-01,aventus,385
2023-11-01,bifrost,7123
2023-11-01,hydradx,25228
2023-11-01,bitgreen,1348
2023-11-01,darwinia,937
2023-11-01,interlay,13168
2023-11-01,litentry,4807
2023-11-01,moonbeam,1491226
2023-11-01,parallel,48747
2023-11-01,pendulum,1611
2023-11-01,polkadex,2
2023-11-01,polkadot,1182170
2023-11-01,frequency,142
2023-11-01,statemint,3460
2023-11-01,zeitgeist,16705
2023-11-01,centrifuge,48129
2023-11-01,composable,45
2023-11-01,collectives,69
2023-11-01,equilibrium,10357
2023-11-01,origintrail,3817
2023-11-01,polkadot-t3rn,4
2023-11-01,kilt-spiritnet,19447
2023-11-01,polkadot-hashed,607
2023-10-01,acala,163639
2023-10-01,ajuna,9
2023-10-01,astar,566814
2023-10-01,crust,1012
2023-10-01,kapex,1078
2023-10-01,manta,34
2023-10-01,nodle,846618
2023-10-01,phala,4459
2023-10-01,clover,2283
2023-10-01,unique,33029
2023-10-01,aventus,379
2023-10-01,bifrost,6029
2023-10-01,hydradx,24709
2023-10-01,bitgreen,1348
2023-10-01,darwinia,890
2023-10-01,interlay,12853
2023-10-01,litentry,4843
